employee_id,first_name,last_name,date_of_birth,gender,hire_date,department_id,position,email,phone,address
1,Andrea,Fritz,1964-04-14,Female,2014-09-14,2,HR Manager,rachael17@example.org,8244270794755,"45333 Ortiz Bridge Suite 429
North Martin, WA 19516"
2,David,Sutton,1994-10-25,Male,2018-02-18,2,Software Engineer,briannajackson@example.net,77935115560596,"191 David Row Apt. 592
East Edwinland, PR 56120"
3,Douglas,Peck,1988-05-25,Female,2021-11-01,1,Financial Analyst,karenburch@example.org,636502996596184,"907 Norris Manor
New Deborah, WI 83616"
4,Brian,Arnold,1970-07-15,Female,2019-05-30,5,Software Engineer,amy36@example.org,838749313932808,"23734 Rogers Row
Lake Jessica, VI 94443"
5,Kyle,Owens,1997-01-21,Male,2024-02-20,4,Marketing Specialist,jeffrey68@example.net,64064723364765,"42386 Campbell Creek
New Shannon, VA 95946"
6,Laura,Young,1994-09-09,Male,2016-10-18,4,Software Engineer,kaitlynedwards@example.org,5288114730,"501 Jeffery Shoals Apt. 762
West James, FM 01067"
7,Kim,Rodriguez,2002-01-04,Male,2017-09-06,3,Software Engineer,johnsonpenny@example.net,20577434495727,"PSC 5930, Box 1344
APO AA 13517"
8,James,Conway,1979-12-25,Male,2019-04-08,5,HR Manager,derrick05@example.org,848548298927388,"02403 Bryan Meadows
Bowmanside, NM 82277"
9,David,Garza,1986-01-31,Male,2021-05-20,1,Sales Representative,phillip29@example.net,2256203900,"6185 Daniel Mountains
Davisport, MP 40171"
10,Joshua,Barnes,1978-09-12,Male,2022-08-17,3,Software Engineer,gaydouglas@example.org,82140623502012,"3696 Dawn Run
South Allisonburgh, TX 19060"
11,Stephen,Horton,1985-02-10,Female,2022-06-23,4,Marketing Specialist,stevensbreanna@example.org,14318128190425,"23535 Henry Square Apt. 902
South Alejandro, SC 57956"
12,Alexander,Kennedy,1985-10-25,Female,2022-08-28,5,Financial Analyst,aarias@example.org,0014092411025176,"764 Hunter Lodge
East Michael, WV 82864"
13,Jacob,Small,1976-01-30,Female,2019-06-07,5,Financial Analyst,joseph08@example.net,979236651084310,"2368 Martinez Cliffs
Karenview, GA 42557"
14,Lisa,Fisher,1999-07-11,Male,2021-08-30,1,Sales Representative,ashley15@example.net,2937905167,"USNV York
FPO AP 24417"
15,Jesus,Bentley,2001-05-17,Male,2015-10-08,3,HR Manager,brianthompson@example.net,8278294850,"3314 Tony Forest
Port Jenniferside, NC 20488"
16,Amy,Russell,1967-01-04,Female,2024-07-27,4,Marketing Specialist,austinjacob@example.org,0012893833042170,"805 Green Highway
Port Ronaldchester, IN 22954"
17,Andrea,Jones,1988-04-30,Female,2019-01-13,3,Marketing Specialist,taylor95@example.com,3462880144,"9998 Smith Union
New Brentside, AK 81117"
18,Crystal,Grant,1986-02-12,Female,2019-03-26,2,Sales Representative,michael14@example.net,2794460784,"8715 Jermaine Overpass
Jonesport, ID 25614"
19,Jenna,Jones,1975-05-11,Female,2016-06-10,4,Sales Representative,bgriffin@example.net,641396451814032,"9792 Powers Forks
Whiteburgh, MN 40373"
20,April,Downs,1975-12-31,Male,2016-04-03,5,Marketing Specialist,dmorgan@example.org,383216458137233,"334 Burns Rest Suite 031
Morrisonton, ME 24704"
21,Alicia,Patterson,1994-09-14,Female,2017-06-20,1,HR Manager,qallen@example.com,6737615417,"952 Carter Prairie
Gonzalesbury, MS 05566"
22,Samantha,Wise,1980-11-10,Male,2018-09-23,5,Financial Analyst,karen74@example.com,7869880247,"625 Deanna Extensions Suite 853
North Amy, MD 51246"
23,Alexandria,Miller,1979-11-03,Male,2020-05-11,3,Sales Representative,nataliealexander@example.com,5276879731,"37172 Murphy Expressway
East Lisa, PA 70282"
24,Joshua,Byrd,1982-07-30,Female,2021-03-28,1,Software Engineer,jeffery04@example.org,6214245179,"07129 Robert Burgs
Gabrielmouth, AL 61325"
25,Ashley,Weaver,1981-08-26,Male,2023-05-27,1,Financial Analyst,harrisonjose@example.net,4427579165,"7378 Ward Haven
Gregorytown, MP 38874"
26,Rachel,Colon,2001-06-12,Male,2015-08-13,5,Marketing Specialist,parkergregory@example.org,13929426962958,"841 Crystal Court
Port Jamesport, KS 77042"
27,Jorge,Martin,1990-03-02,Female,2017-12-04,5,Marketing Specialist,franklinheather@example.org,7334918463,"501 Abigail Stravenue
East Christopher, NY 55214"
28,Darrell,Webb,1975-03-31,Male,2015-08-31,3,Software Engineer,allisongiles@example.net,00170894391199719,"21383 White Prairie Apt. 504
Lake Alexanderside, GA 93523"
29,Lisa,Webb,1988-03-01,Female,2014-10-26,5,HR Manager,danielsmary@example.com,180561858266193,"360 Rodriguez Crossing Suite 405
Kingport, NH 75711"
30,Johnathan,Hopkins,1988-02-12,Male,2018-01-28,1,Marketing Specialist,petersscott@example.net,5253043763,"2012 Baird Row Suite 046
New Jennifer, OK 56998"
31,Jennifer,Bailey,1981-01-29,Male,2017-05-15,5,Software Engineer,patrickchapman@example.org,26459636283448,"680 Brian Fort
North Jasmine, NM 98042"
32,Cindy,Ortiz,1978-08-21,Male,2019-03-12,5,Sales Representative,john74@example.org,720210037729182,"6681 Greg Parks Apt. 332
North Leslieview, ID 68286"
33,Arthur,Herrera,1967-05-10,Male,2023-02-24,5,Sales Representative,chapmancourtney@example.com,1446628105672875,"4451 Linda Crest
Amberfort, SD 37457"
34,Justin,Banks,1963-10-01,Female,2015-12-30,4,Financial Analyst,martinezmark@example.org,5407432794,"564 Peterson Forges
South Brandon, RI 64571"
35,Catherine,Kline,1994-11-01,Male,2016-12-21,3,Marketing Specialist,rodneygray@example.org,3304504626,"9168 Timothy Divide
Robertfurt, SD 39955"
36,Dana,Smith,1964-04-04,Female,2015-07-30,5,Marketing Specialist,stephensdaniel@example.com,001413278339824106,"02093 Craig Wall
West Rachelchester, PA 91287"
37,Lance,Fernandez,1996-08-20,Male,2019-01-22,3,Software Engineer,joshuawilson@example.com,4695805392,"2482 Ashley Harbor Apt. 949
West Victoria, DC 39913"
38,Joshua,Morrison,1973-11-02,Female,2020-05-12,5,Sales Representative,shieldskathryn@example.net,394910744790628,"355 Craig Terrace Apt. 544
Carolynburgh, OR 49457"
39,Edward,Carroll,1983-06-08,Female,2014-09-28,5,Software Engineer,travis82@example.net,6577911691,"42916 Miller View
West Karenshire, CO 17167"
40,Lisa,Gomez,1981-01-15,Male,2024-07-03,5,Sales Representative,fwatson@example.org,14739726986611,"USNS Alexander
FPO AA 94014"
41,Steven,Ellison,1971-03-04,Male,2016-10-07,5,Sales Representative,robert20@example.org,2402977774,"298 Andrew Terrace
South Jason, IA 99366"
42,Christopher,Hughes,1994-11-01,Female,2019-04-11,4,HR Manager,kevin21@example.net,0019336678463178,"9149 Skinner Lakes Apt. 636
South Michaelland, WI 64737"
43,Dean,Farmer,2001-09-12,Male,2014-11-23,3,HR Manager,gkane@example.com,0019954936918,"6698 Tamara Mews Apt. 122
Johnmouth, MA 69071"
44,Sarah,Young,1963-12-27,Male,2016-07-12,2,Financial Analyst,jeffery85@example.net,4074147878,"Unit 5808 Box 2474
DPO AP 72920"
45,Matthew,Mosley,2002-05-19,Female,2020-10-24,5,Marketing Specialist,ellisjohn@example.org,6496753805961,"047 James Parks Suite 489
East Valerie, HI 34933"
46,Brooke,Medina,1993-06-17,Female,2021-12-18,2,Sales Representative,pittsthomas@example.org,0017258359024839,"78765 Courtney Mill Suite 358
Gregoryview, TN 52280"
47,Andrea,Diaz,1971-05-09,Male,2020-08-05,5,HR Manager,hdominguez@example.org,1521417524059761,"63006 Shannon Turnpike Suite 005
Dukeside, RI 61108"
